,,,,,,,,,,,,,,,,,,,フォーム,,,,,,,,,,,,,,フォーム,,,,,,,,,,,,,,フォーム,,,,,,,,,,,,,,フォーム,,,,,,,,,,,,,,フォーム,,,,,,,,,,,,
日付,曜日,表示回数,クリック数,クリック率,クリック単価,CV,CPA,CVR,消化金額,備考,実獲得数,実CPA,,,,,,,https://franchise.ritzpro.website/page/JekP2xPof3dE,,,,,,,,,,,,,,https://franchise.ritzpro.website/page/KKj1xsiRIY4V,,,,,,,,,,,,,,https://franchise.ritzpro.website/page/LHVbX6bkoHvB,,https://c1.ritzpro.website/,,,,,,,,,,,,,,,,,,,,,,,,,,https://franchise.ritzpro.website/page/CBhr21nKE0fa,,,,,,,,,,,,
全期間合計,,"693,543","7,122",1.03%,¥948,391,"¥17,267",5.49%,"¥6,751,381",,314,"¥21,501",,,,,,,"＜LP1＞
成功するFC多店舗展開 ノウハウセミナー",,,,,,,,,,,,,,"＜LP2＞
成功するFC完全構築ノウハウセミナー",,,,,,,,,,,,,,"＜LP3＞
FC多店舗展開×M＆A戦略セミナー",,,,,,,,,,,,,,"＜LP4＞
美容系サロン多店舗展開セミナー",,https://d1.ritzpro.website/,,,,,,,,,,,,"＜LP5＞
FC　最短ルートセミナー",,https://e1.ritzpro.website/,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日付,曜日,表示回数,クリック数,クリック率,クリック単価,CV,CPA,CVR,請求金額,,実獲得数,実CPA,,,,,,,日付,曜日,表示回数,クリック数,クリック率,クリック単価,CV,CPA,CVR,請求金額,,実獲得数,実CPA,,日付,曜日,表示回数,クリック数,クリック率,クリック単価,CV,CPA,CVR,請求金額,,実獲得数,実CPA,,日付,曜日,表示回数,クリック数,クリック率,クリック単価,CV,CPA,CVR,請求金額,,実獲得数,実CPA,,,,,,クリック率,クリック単価,,CPA,CVR,,,実獲得数,実CPA,,,,,,クリック率,クリック単価,,CPA,CVR,,,実獲得数,実CPA
2024年8月,,"26,843",222,0.83%,¥754,7,"¥23,898",3.15%,"¥167,287",,8,"¥20,911",,URL,,,,,2024年8月,,"8,587",83,0.97%,¥771,2,"¥31,982",2.41%,"¥63,963",,2,"¥31,982",,2024年8月,,"8,743",66,0.75%,¥779,3,"¥17,147",4.55%,"¥51,440",,4,"¥12,860",,2024年8月,,"9,513",73,0.77%,¥711,2,"¥25,942",2.74%,"¥51,883",,2,"¥25,942",,,,,,-,-,,-,-,,,¥0,-,,,,,,-,-,,-,-,,,¥0,-
2024/08/01,木,0,0,-,-,0,-,-,¥0,,0,-,,"◾️LP1
https://a1.ritzpro.website

◾️LP2
https://b1.ritzpro.website

◾️LP3
https://c1.ritzpro.website

◾️サンクスページ
https://thxa1.ritzpro.website
",,,,,2024/08/01,木,,,-,-,,-,-,¥0,,,-,,2024/08/01,木,,,-,-,,-,-,¥0,,,-,,2024/08/01,木,,,-,-,,-,-,¥0,,,-,,,,,,-,-,,-,-,,,,-,,,,,,-,-,,-,-,,,,-
2024/08/02,金,0,0,-,-,0,-,-,¥0,,0,-,,,,,,,2024/08/02,金,,,-,-,,-,-,¥0,,,-,,2024/08/02,金,,,-,-,,-,-,¥0,,,-,,2024/08/02,金,,,-,-,,-,-,¥0,,,-,,,,,,-,-,,-,-,,,,-,,,,,,-,-,,-,-,,,,-
2024/08/03,土,0,0,-,-,0,-,-,¥0,,0,-,,,,,,,2024/08/03,土,,,-,-,,-,-,¥0,,,-,,2024/08/03,土,,,-,-,,-,-,¥0,,,-,,2024/08/03,土,,,-,-,,-,-,¥0,,,-,,,,,,-,-,,-,-,,,,-,,,,,,-,-,,-,-,,,,-
2024/08/04,日,0,0,-,-,0,-,-,¥0,,0,-,,,,,,,2024/08/04,日,,,-,-,,-,-,¥0,,,-,,2024/08/04,日,,,-,-,,-,-,¥0,,,-,,2024/08/04,日,,,-,-,,-,-,¥0,,,-,,,,,,-,-,,-,-,,,,-,,,,,,-,-,,-,-,,,,-
2024/08/05,月,0,0,-,-,0,-,-,¥0,,0,-,,,,,,,2024/08/05,月,,,-,-,,-,-,¥0,,,-,,2024/08/05,月,,,-,-,,-,-,¥0,,,-,,2024/08/05,月,,,-,-,,-,-,¥0,,,-,,,,,,-,-,,-,-,,,,-,,,,,,-,-,,-,-,,,,-
2024/08/06,火,0,0,-,-,0,-,-,¥0,,0,-,,,,,,,2024/08/06,火,,,-,-,,-,-,¥0,,,-,,2024/08/06,火,,,-,-,,-,-,¥0,,,-,,2024/08/06,火,,,-,-,,-,-,¥0,,,-,,,,,,-,-,,-,-,,,,-,,,,,,-,-,,-,-,,,,-
